Label,H_Mean,H_Std,H_Skew,S_Mean,S_Std,S_Skew,V_Mean,V_Std,V_Skew,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity
Pepper__bell___Bacterial_spot,0.282229872634011,0.142486628072851,1.57422772729497,0.489248439680209,0.271051726825494,0.814933896251517,0.376063068479571,0.194007265602927,-0.757808898153454,1917.20158202978,0.617397464760313,0.893838799736866,0.970631103216456
Pepper__bell___Bacterial_spot,0.315549045244959,0.148725874297637,1.56017782688733,0.544148049074259,0.297123926688839,0.49423492100846,0.306574072331055,0.214652769685235,-0.0175480405126206,1940.69587507884,0.572532562010629,0.900852339780208,0.970271202894013
Pepper__bell___Bacterial_spot,0.305660719361295,0.138539779204053,1.39178297484772,0.410849167269779,0.292418596180324,1.18035459766786,0.390537920410498,0.220340546784465,-0.538314029142989,1889.99988473445,0.594456029735681,0.899679158322997,0.971047795883357
Pepper__bell___Bacterial_spot,0.274710796108696,0.123740469269623,2.50806790402487,0.590912973450317,0.231108739919386,0.558041882737058,0.469406687162148,0.239085942581588,-0.582465380176272,1603.94777541376,0.559368041807273,0.919643179362516,0.975429721577608
Pepper__bell___Bacterial_spot,0.289065970005845,0.122621076023197,2.45568311067578,0.649411049480003,0.26818109135976,-0.23374540919789,0.318050978684467,0.219607594545346,0.436718312199079,1369.41842163202,0.618215965518532,0.923953594065511,0.979022389374509
Pepper__bell___Bacterial_spot,0.286947128122421,0.125431394987225,1.92745634441174,0.52336550295671,0.221534532596149,0.976753221477689,0.35901959464011,0.15797254844861,-1.14427571802101,1508.42543680379,0.532231536407818,0.927468908197644,0.97689299269602
Pepper__bell___Bacterial_spot,0.282882423471686,0.12351387096043,2.27832188422966,0.544725889476566,0.296903269759522,0.303629050326574,0.397828081149978,0.262844499074757,0.0257042517192974,1584.08301482343,0.627858619497955,0.910448516684723,0.975734022444494
Pepper__bell___Bacterial_spot,0.233299044999559,0.145068089042071,2.31189057430511,0.648466124571332,0.210806997913271,0.290945310878075,0.438864006546565,0.227790896658704,-0.803127560516337,1930.98617833956,0.594358181880461,0.897569204715145,0.970419942121024
Pepper__bell___Bacterial_spot,0.288715341676594,0.129563008770506,1.95641003490227,0.634214645537385,0.268345333547097,-0.113064991447612,0.317067200213416,0.214250198612502,0.357292945024953,1623.18984685047,0.590914328857995,0.914319675085005,0.975134959453884
Pepper__bell___Bacterial_spot,0.304702594217337,0.12343672065151,1.51141380505422,0.492778096863066,0.247201012845148,0.836640430738571,0.346707893439065,0.170699789557194,-0.524970140149164,1474.09847917271,0.636796912634341,0.91501217944971,0.977418834571496
