Label,Area,Perimeter,Eccentricity,Solidity,Extent,MajorAxisLength,MinorAxisLength,AspectRatio,EquivDiameter,ConvexArea,Circularity
Pepper__bell___Bacterial_spot,34656,1267.45,0.714449104720561,0.848475945648182,0.599004424778761,258.944072077904,181.179908061782,1.42920964497678,210.060442878572,40845,0.271098195926734
Pepper__bell___Bacterial_spot,34659,1835.907,0.673624931960817,0.748267449642695,0.570687611144043,266.933158284958,197.283189724794,1.35304563281507,210.069534633121,46319,0.129218452776417
Pepper__bell___Bacterial_spot,35669,1652.971,0.75426032661864,0.850943531264165,0.61412510115184,275.761239786716,181.05806811626,1.52305413758003,213.108379284247,41917,0.164047769283971
Pepper__bell___Bacterial_spot,42364,1334.363,0.67964042343235,0.907074340527578,0.686657157676348,274.953446813286,201.690843803422,1.36324208689051,232.24883223207,46704,0.298991499467019
Pepper__bell___Bacterial_spot,39009,1170.633,0.422638418397052,0.910723040646231,0.677251341169118,236.044770763141,213.926995134733,1.10338936240599,222.862741167235,42833,0.357711708837042
Pepper__bell___Bacterial_spot,44664,1378.186,0.600385538870483,0.909079807046468,0.6815185546875,271.182026060157,216.867168061048,1.25045219377707,238.470063165277,49131,0.295496139231172
Pepper__bell___Bacterial_spot,38200,1109.705,0.284537313499633,0.909870426829268,0.660442600276625,230.322475670493,220.802088330589,1.04311728848167,220.539680350007,41984,0.389814636109155
Pepper__bell___Bacterial_spot,37569,1387.283,0.464882429500414,0.84,0.60893737033195,239.143536266271,211.731092058764,1.12946820394191,218.710622641323,44725,0.245306677631084
Pepper__bell___Bacterial_spot,36940,1208.904,0.332831003412089,0.886127569745964,0.638481747787611,227.708679769331,214.726209021737,1.06046057817879,216.872010140813,41687,0.317631178524827
Pepper__bell___Bacterial_spot,40029,1287.464,0.7951717125855,0.8957839144251,0.610794067382812,294.073171367713,178.321361010759,1.64911915039708,225.757626086482,44686,0.303469057900608
Pepper__bell___Bacterial_spot,38153,1283.254,0.840839962479872,0.884891919473049,0.591409350198413,306.038126709075,165.653481683642,1.84745967062457,220.403966276201,43116,0.291147659514648
Pepper__bell___Bacterial_spot,34789,1205.087,0.3080660932708,0.895585017376754,0.591609414325556,219.923844669059,209.227839115767,1.05112133069144,210.463133402959,38845,0.301033623597774
Pepper__bell___Bacterial_spot,37049,1337.828,0.661051353515187,0.85397842522589,0.565322875976562,257.922476221059,193.529721374527,1.33272798818284,217.191739927864,43384,0.260127215323409
Pepper__bell___Bacterial_spot,42839,1546.062,0.611457495041204,0.846169040235447,0.653671264648438,268.583441146598,212.52397440945,1.26377949543304,233.54723046294,50627,0.22521399608174
Pepper__bell___Bacterial_spot,36336,1341.939,0.797452161016306,0.868949684331356,0.598892405063291,286.915313507077,173.119586328552,1.65732439403222,215.091683004008,41816,0.253560401886487
Pepper__bell___Bacterial_spot,31758,1838.23,0.380424923130611,0.689073077590696,0.5147497406639,240.527152172711,222.442350167669,1.08130107414982,201.085905676403,46088,0.11810364717632
Pepper__bell___Bacterial_spot,43146,1301.992,0.395423456597698,0.894848183175709,0.658355712890625,251.203728406383,230.730356513748,1.08873289237697,234.382579124694,48216,0.319840732695779
Pepper__bell___Bacterial_spot,38136,1277.094,0.446664760428846,0.855681206246634,0.5819091796875,239.982872815278,214.713011831766,1.11769133490294,220.354857622926,44568,0.293832123615875
Pepper__bell___Bacterial_spot,39007,1172.696,0.350549063151683,0.903086148218461,0.632245202282158,233.36360474129,218.555369852553,1.06775507231292,222.857027983154,43193,0.356435971656918
Pepper__bell___Bacterial_spot,31238,1384.653,0.342206967355043,0.778633565143698,0.506321317427386,240.665469281525,226.1351956364,1.06425480829834,199.43283806444,40119,0.204743999522075
Pepper__bell___Bacterial_spot,33556,1270.657,0.786515461623688,0.849583512671849,0.627168062200957,269.408584774283,166.378817558196,1.61924810338341,206.699845580816,39497,0.261170056565594
Pepper__bell___Bacterial_spot,36468,1320.024,0.449261588695776,0.868657996284122,0.633125,233.4578026349,208.571261619364,1.11931912777588,215.482017155497,41982,0.263001457553151
Pepper__bell___Bacterial_spot,37149,1136.047,0.489762574915458,0.905852231163131,0.696652601969058,236.028742083532,205.78303915205,1.14697859967523,217.484656579186,41010,0.361713229617366
Pepper__bell___Bacterial_spot,33094,1355.613,0.675055257972544,0.893201263123802,0.711500010749683,242.011412261528,178.548074986741,1.35544117336185,205.271989061989,37051,0.226301627168674
Pepper__bell___Bacterial_spot,38975,1276.366,0.81928416420611,0.888582371984862,0.594711303710938,298.684382793279,171.261952257626,1.74402065873904,222.765597110624,43862,0.300639149475344
Pepper__bell___Bacterial_spot,35500,1206.052,0.394569262396912,0.883964143426295,0.58453533557268,226.17900145118,207.828240034817,1.08829772803392,212.602925281141,40160,0.30669461503638
Pepper__bell___Bacterial_spot,29476,1551.732,0.524093581184035,0.82293818750349,0.647141477123035,220.584052797234,187.862764959778,1.17417654767543,193.726634257176,35818,0.153831395310733
Pepper__bell___Bacterial_spot,39389,1293.717,0.497563868056559,0.883577469211961,0.620260141093474,246.009486904544,213.395355836564,1.15283430578948,223.94560149191,44579,0.295737399158746
Pepper__bell___Bacterial_spot,29690,1096.251,0.39101186462854,0.913566571279116,0.677173615546027,205.441492773526,189.085399295696,1.08650109177521,194.42860407663,32499,0.310455999232574
Pepper__bell___Bacterial_spot,42035,1284.146,0.628595989942002,0.878547840989842,0.641403198242188,268.965960627285,209.183437534753,1.28578994492621,231.345249060668,47846,0.320325939906519
Pepper__bell___Bacterial_spot,42878,1165.217,0.480651065385235,0.926210740052707,0.744409722222222,251.002042680977,220.106688596284,1.14036535773504,233.65351527241,46294,0.396853997800812
Pepper__bell___Bacterial_spot,40417,1290.074,0.402200583753796,0.8739944641467,0.655099196058091,241.072926844211,220.714698381207,1.09223775585549,226.849118754209,46244,0.305172006495975
Pepper__bell___Bacterial_spot,31950,1123.662,0.711522279030261,0.89576090613435,0.701149929775281,243.473777019638,171.080145364484,1.42315624353089,201.692844330899,35668,0.317986980075464
Pepper__bell___Bacterial_spot,32997,1235.212,0.466149890179155,0.877206507868992,0.570329784292035,222.592342457832,196.928727266421,1.1303193066225,204.970937592689,37616,0.271769876162291
Pepper__bell___Bacterial_spot,39524,1050.027,0.455913989361664,0.925729008080571,0.735193452380952,239.450999021376,213.117097443903,1.12356541025248,224.329043518918,42695,0.450474095194865
Pepper__bell___Bacterial_spot,34657,1048.578,0.383444434758735,0.914601641464123,0.68478561549101,221.083003380459,204.184291366802,1.08276205725983,210.063473507144,37893,0.396094988025169
Pepper__bell___Bacterial_spot,43988,1230.315,0.61556268462122,0.90130109619916,0.692855342741935,273.806350371796,215.783479171433,1.26889394602015,236.658532687521,48805,0.365183748735659
Pepper__bell___Bacterial_spot,41341,1539.672,0.466099606845646,0.88316599017304,0.630813598632812,248.085389424806,219.489145101563,1.13028546040403,229.42753980047,46810,0.219146438897792
Pepper__bell___Bacterial_spot,46282,1308.808,0.570984248471566,0.898731964968833,0.799951603982301,272.134666735111,223.411952194273,1.21808463720182,242.751050686568,51497,0.339523704018041
Pepper__bell___Bacterial_spot,36496,1489.545,0.785711596083576,0.797918625243228,0.556884765625,290.404767161783,179.64235334685,1.6165718259161,215.564724444085,45739,0.206703521667441
Pepper__bell___Bacterial_spot,44107,1224.459,0.480219586169076,0.917653177988141,0.673019409179688,255.908158497301,224.46940747547,1.14005806570887,236.978430663286,48065,0.369682496395398
Pepper__bell___Bacterial_spot,39441,1135.051,0.660961327697723,0.895592542973274,0.690529964809076,262.338408485775,196.863979212227,1.33258714740783,224.09337536817,44039,0.384704290930981
Pepper__bell___Bacterial_spot,40431,1260.519,0.540797411439968,0.863817968165794,0.616928100585938,252.072238381739,212.031288121238,1.18884453617811,226.888404360354,46805,0.319761045038055
Pepper__bell___Bacterial_spot,34489,1134.225,0.524458630505566,0.896353665826338,0.633220724855873,230.753882406585,196.472146738066,1.17448649204319,209.553713062716,38477,0.33689303720076
Pepper__bell___Bacterial_spot,38563,1462.593,0.549877432569756,0.860627566505981,0.635597969409283,252.956801622231,211.280994494542,1.19725298637197,221.585054919374,44808,0.226534157393796
Pepper__bell___Bacterial_spot,42194,1136.242,0.531956457877381,0.918578830495929,0.701363031914894,255.098859473277,216.010497163952,1.18095584623213,231.782374978244,45934,0.41069449882699
Pepper__bell___Bacterial_spot,45023,1182.324,0.448120566531267,0.910401585311603,0.686996459960938,257.397359752597,230.106323451056,1.11860185279674,239.426531576204,49454,0.404735485328496
Pepper__bell___Bacterial_spot,34775,1393.258,0.60844996391243,0.839975845410628,0.543359375,243.699775671137,193.398250559378,1.26009296860892,210.420781217458,41400,0.22511991278183
Pepper__bell___Bacterial_spot,44483,1249.75,0.454621761698505,0.88974897489749,0.678756713867188,256.726606502238,228.662434405734,1.12273188715689,237.986374963892,49995,0.357896657331732
Pepper__bell___Bacterial_spot,30140,1385.933,0.595529589260436,0.770962296004502,0.560639880952381,236.6765205853,190.130147612278,1.24481321640765,195.896502976234,39094,0.197182623481359
Pepper__bell___Bacterial_spot,17045,1061.987,0.83961694167342,0.780520194156974,0.559770114942529,221.249313030068,120.177973517784,1.84101384433253,147.317236058823,21838,0.189919023494147
Pepper__bell___Bacterial_spot,40782,1342.851,0.57221362451375,0.885871926318533,0.622283935546875,255.592116334107,209.612272351946,1.21935664103178,227.87113707837,46036,0.284199121088603
Pepper__bell___Bacterial_spot,35446,1131.793,0.272229208207953,0.915207849212497,0.670259435746161,218.655578468551,210.397489608919,1.03924994007762,212.44116574403,38730,0.347730744245847
Pepper__bell___Bacterial_spot,41472,1270.251,0.283459644379413,0.904179475439859,0.672199170124481,237.463700871258,227.723929057245,1.04277008505138,229.790753511225,45867,0.322987528241931
Pepper__bell___Bacterial_spot,36960,1630.782,0.505723198873086,0.790605146634153,0.599066390041494,255.339174652819,220.280033960445,1.15915714221594,216.930711457395,46749,0.174642527539731
Pepper__bell___Bacterial_spot,40575,1486.899,0.320997088099064,0.860460184497932,0.619125366210938,240.476091745711,227.750140520686,1.05587680954194,227.292090772269,47155,0.230624506281733
Pepper__bell___Bacterial_spot,40347,1309.67,0.384464734857081,0.879958997622735,0.615646362304688,242.330456617032,223.704860026173,1.08325968684221,226.652588583121,45851,0.29559518360409
Pepper__bell___Bacterial_spot,31418,1184.16,0.577928429372548,0.857642016760844,0.610579912935323,226.815904955413,185.101614116442,1.22535887133177,200.006599932326,36633,0.281557840548123
Pepper__bell___Bacterial_spot,36176,1271.492,0.796991063332064,0.896888558324036,0.672916666666667,280.581462119834,169.46870503709,1.65565354416572,214.617598929676,40335,0.2811921193147
Pepper__bell___Bacterial_spot,32324,1153.975,0.507002002092884,0.903056378163938,0.64174392979809,223.165247969553,192.356142067742,1.16016699841568,202.869896840363,35794,0.305029723877291
Pepper__bell___Bacterial_spot,36112,1139.236,0.363474139128415,0.904292081935193,0.63689594356261,225.035495182332,209.644032356444,1.07341712832407,214.427671813775,39934,0.349650380522507
Pepper__bell___Bacterial_spot,37219,1170.291,0.358791034273059,0.912118612915084,0.68638082065468,226.749293017158,211.651851062596,1.07133149026935,217.68946372183,40805,0.34149695378904
Pepper__bell___Bacterial_spot,39490,1208.451,0.486478772717304,0.859973867595819,0.640073910788382,247.805806949286,216.506049339224,1.14456758924561,224.232534708038,45920,0.339812153033291
Pepper__bell___Bacterial_spot,35930,1203.934,0.445994944368428,0.893292228133857,0.678949357520786,228.564188517983,204.573058071064,1.11727414486117,213.886644843324,40222,0.311502633323258
Pepper__bell___Bacterial_spot,37580,1241.49,0.41713427432939,0.908849065273646,0.699032738095238,231.391626467956,210.2990926069,1.10029778825762,218.742638941628,41349,0.30639395195833
Pepper__bell___Bacterial_spot,42255,1248.31,0.468022061234218,0.881487817089453,0.670969893292683,250.497013620975,221.368414694066,1.1315842595122,231.949858725511,47936,0.340755654218622
Pepper__bell___Bacterial_spot,38935,1241.794,0.679613912575533,0.868871482448506,0.631078189834025,266.05326927268,195.168694008229,1.36319644205572,222.651255721282,44811,0.317286014018376
Pepper__bell___Bacterial_spot,37776,1289.614,0.376323316349575,0.840194835524121,0.576416015625,233.050692590403,215.91876408142,1.07934432462073,219.312327610455,44961,0.285434428362455
Pepper__bell___Bacterial_spot,38527,1248.099,0.401208038276424,0.89831654542063,0.651498241341991,237.684389670011,217.715801420717,1.09171859882924,221.481601809296,42888,0.310797120522081
Pepper__bell___Bacterial_spot,34861,1219.946,0.457902166502182,0.871699339867974,0.600213494946712,227.499748759949,202.247865985297,1.12485611480562,210.68081015843,39992,0.294353016045576
Pepper__bell___Bacterial_spot,35368,1271.282,0.823220709237383,0.880523813080389,0.57326244813278,288.155123429585,163.591849343733,1.76142714068917,212.207295393427,40167,0.275002454537083
Pepper__bell___Bacterial_spot,39127,1165.296,0.330775112375316,0.896051848119819,0.634190223029046,234.177734278474,220.995777917722,1.0596480009028,223.199560185169,43666,0.362087809009728
Pepper__bell___Bacterial_spot,38234,1257.467,0.431580698515598,0.868895302593005,0.583404541015625,237.454608643272,214.20170750057,1.10855609609293,220.637804452012,44003,0.303855013654293
Pepper__bell___Bacterial_spot,40634,1289.514,0.338816734683932,0.904888097093865,0.658616441908714,237.330978004297,223.293417943152,1.06286598230459,227.457283156132,44905,0.307077019858883
Pepper__bell___Bacterial_spot,38318,1426.977,0.600686003266135,0.853179551122195,0.584686279296875,252.711066821015,202.038716780495,1.25080514689456,220.880041821714,44912,0.236471469755692
Pepper__bell___Bacterial_spot,31705,1320.992,0.470972132149633,0.842008817124343,0.528337416054259,219.71232517451,193.818807759038,1.13359651581215,200.918042409905,37654,0.228316472799559
Pepper__bell___Bacterial_spot,37909,1102.029,0.312245798867753,0.914329128578664,0.69601219109169,229.158879379963,217.701244303581,1.05263008538621,219.698060759228,41461,0.392252884587407
Pepper__bell___Bacterial_spot,29548,1029.121,0.674083794251811,0.898033613956174,0.669354838709677,229.438845792742,169.476124128193,1.35381220790247,193.963094602645,32903,0.350594479665874
Pepper__bell___Bacterial_spot,37074,1362.532,0.337883092369899,0.8173640813087,0.640797842920354,238.398976171555,224.378276424429,1.06248688585434,217.265006113528,45358,0.25094924191614
Pepper__bell___Bacterial_spot,40140,1341.399,0.79228667278835,0.880108752850377,0.61248779296875,296.887835370692,181.145822169937,1.63894387303161,226.070421164887,45608,0.28033109646329
Pepper__bell___Bacterial_spot,38924,1243.424,0.804172866633594,0.886025813207075,0.603360615079365,294.50752334006,175.053944149281,1.68238153542494,222.619801543509,43931,0.316365295631048
